"","item400","preferredLabel","worker"
"407","Psychologist","Professionals","Knowledge"
"408","SAP System Consultant inhouse","Professionals","Knowledge"
"409","technician","Technicians and associate professionals","Skill"
"410","ventilation mechanic","Craft and related trades workers","Skill"
"411","Accountant","Professionals","Knowledge"
"412","Cybersecurity Analytic","Professionals","Knowledge"
"413","Account negotiator in arrears department in the Bank","Managers","Knowledge"
"414","programmer","Professionals","Knowledge"
"415","Audit Team Leader","Professionals","Knowledge"
"416","Diplomat for U.S. State Department, currently stationed in Washington DC. ","Managers","Knowledge"
"417","Customer Service / Warehouse Organisation","Managers","Knowledge"
"418","Project manager","Managers","Knowledge"
"419","Security Guard, at an IT reception desk","Service and sales workers","Skill"
"420","Graphic designer","Professionals","Knowledge"
"421","Junior Software Tester","Professionals","Knowledge"
"422","Network Operations Center Analyst","Professionals","Knowledge"
"423","Nutrition","Professionals","Knowledge"
"424",NA,NA,NA
"425","Childcare","Professionals","Knowledge"
"426","Phone dispatcher","Clerical support workers","Skill"
"427","Training assistant","Technicians and associate professionals","Skill"
"428","ADMINISTRATION","Managers","Knowledge"
"429","VP, Risk","Technicians and associate professionals","Skill"
"430","Executive search senior consultant","Professionals","Knowledge"
"431","Market Intelligence and Institutional Relations Coordinator","Professionals","Knowledge"
"432","Health care worker","Technicians and associate professionals","Skill"
"433","Waiter","Service and sales workers","Skill"
"434","i am a researcher in a nanotechnology research group  ","Professionals","Knowledge"
"435","Warehouse analyst and supervisor","Professionals","Knowledge"
"436","Merchandiser ","Technicians and associate professionals","Skill"
"437","physical theapist","Professionals","Knowledge"
"438","Business Intelligence Consultant","Professionals","Knowledge"
"439","Medic consultant","Professionals","Knowledge"
"440","Bus Screener/Cooker","Plant and machine operators and assemblers","Skill"
"441","Financial Systems Analyst III","Professionals","Knowledge"
"442","warehouse foreman","Clerical support workers","Skill"
"443","Manager and waitress","Managers","Knowledge"
"444","Candidate Attorney ","Professionals","Knowledge"
"445","Digital Marketing Campaigns Specialist at HSBC","Professionals","Knowledge"
"446","Senior Associate","Professionals","Knowledge"
"447","Administrator ","Technicians and associate professionals","Skill"
"448","Supply chain analyst","Managers","Knowledge"
"449","Preschool teacher","Professionals","Knowledge"
"450","Millwright/technician ","Technicians and associate professionals","Skill"
"451","mkt & design coordinator ","Professionals","Knowledge"
"452","Administrative","Technicians and associate professionals","Skill"
"453","OPS Assistant","Technicians and associate professionals","Skill"
"454","Contact center specialist for a hospital organization","Technicians and associate professionals","Skill"
"455","Intern in the area of human resources","Professionals","Knowledge"
"456","Paratransit bus driver","Plant and machine operators and assemblers","Skill"
"457","Cashier","Clerical support workers","Skill"
"458","Human Resources","Professionals","Knowledge"
"459","61411312c6c69960357cb7a0",NA,NA
"460","Spare Parts sales Manager for a multinational Company","Managers","Knowledge"
"461","Agricultural Technician","Technicians and associate professionals","Skill"
"462","Analyst","Professionals","Knowledge"
"463","Working in production, retail, managing of food company.","Technicians and associate professionals","Skill"
"464","Teacher","Professionals","Knowledge"
"465","Finance Manager","Managers","Knowledge"
"466","Freelance Musician ","Professionals","Knowledge"
"467","Retail worker","Technicians and associate professionals","Skill"
"468","Mercator Murska Sobota, Vojkova cesta 3",NA,NA
"469","Self employed real estate agent","Technicians and associate professionals","Skill"
"470","Software developer","Professionals","Knowledge"
"471","Occupational Therapist","Professionals","Knowledge"
"472","gas station employee","Technicians and associate professionals","Skill"
"473",NA,NA,NA
"474","Production Technologist","Managers","Knowledge"
"475","Assistant Professional Officer","Technicians and associate professionals","Skill"
"476","FINANCIAL PLANNING","Professionals","Knowledge"
"477","Claims processing consultant.","Professionals","Knowledge"
"478","Audit associate","Professionals","Knowledge"
"479","covid19 brigades",NA,NA
"480","Accountant","Professionals","Knowledge"
"481","business analyst","Professionals","Knowledge"
"482","Software developer","Professionals","Knowledge"
"483","Assistant manager","Technicians and associate professionals","Skill"
"484","Paralegal Compliance and Reporting Officer","Technicians and associate professionals","Skill"
"485","librarian/professor","Professionals","Knowledge"
"486",NA,NA,NA
"487","Office administrator","Technicians and associate professionals","Skill"
"488","server","Professionals","Knowledge"
"489","Administration Data Analyst ","Professionals","Knowledge"
"490","Data Capturer","Technicians and associate professionals","Skill"
"491","Driver and kitchen assistant","Plant and machine operators and assemblers","Skill"
"492","Graphic designer","Professionals","Knowledge"
"493","COLLECTION ANALYST","Professionals","Knowledge"
"494","Claims Administrator","Managers","Knowledge"
"495","Veterinary Assistant","Technicians and associate professionals","Skill"
"496","Accounts payable analyst","Professionals","Knowledge"
"497","Admins clerk at an Accounting office.","Technicians and associate professionals","Skill"
"498","visual merchandiser","Technicians and associate professionals","Skill"
"499","Buyer","Technicians and associate professionals","Skill"
"500","Leader in strategic initiatives","Managers","Knowledge"
"501","Office Administration and Accounts ","Managers","Knowledge"
"502","Community Manager","Managers","Knowledge"
"503","Production control","Managers","Knowledge"
"504","Occupational Therapist ","Professionals","Knowledge"
"505","Customer Care representative in a manufacturing company","Technicians and associate professionals","Skill"
"506","Company director ","Managers","Knowledge"
"507",NA,NA,NA
